,Artist,id,Song Name,Popularity,Danceability,Energy,Tempo,Duration
78,Florida Georgia Line Featuring Nelly,0i5el041vd6nxrGEU8QRxy,Cruise,72,0.457,0.948,148.0,208960
79,Katy Perry,27tNWlhdAryQY04Gb2ZhUI,Roar,82,0.671,0.771,90.003,223546
80,Pharrell Williams,3ZEno9fORwMA1HPecdLi0R,Happy,78,0.732,0.855,106.004,242691
81,Katy Perry Featuring Juicy J,4jbmgIyjGoXjY01XxatOx6,Dark Horse,84,0.647,0.585,131.934,215672
82,John Legend,2FoahzOSxJnalPA8aBUme3,All Of Me,85,0.653,0.805,159.947,198293
83,Iggy Azalea Featuring Charli XCX,3fpTMuD1u3gJlVI4FadVHs,Fancy,75,0.53,0.884,87.194,319387
84,OneRepublic,2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,90,0.664,0.705,122.016,257267
85,Jason Derulo Featuring 2 Chainz,6g6A7qNhTfUgOSH7ROOxTD,Talk Dirty,70,0.76,0.652,100.315,177685
86,MAGIC!,6RtPijgfPKROxEzTHNRiDp,Rude,84,0.773,0.758,144.033,224840
87,Meghan Trainor,5jE48hhRu8E6zBDPRSkEq7,All About That Bass,75,0.807,0.887,134.052,187920
88,Ariana Grande Featuring Iggy Azalea,0sY6ZUTh4yoctD8VIXz339,Problem,83,0.462,0.24,171.319,244000
89,Sam Smith,5Nm9ERjJZ5oyfXZTECKmRt,Stay With Me,87,0.418,0.42,84.094,172724
90,Mark Ronson Featuring Bruno Mars,32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk!,86,0.856,0.609,114.988,269667
91,Ed Sheeran,34gCuhDGsG4bRPIf9bb02f,Thinking Out Loud,85,0.781,0.445,78.998,281560
92,Wiz Khalifa Featuring Charlie Puth,7KA4W4McWYRpgf0fWsJZWB,See You Again,92,0.558,0.559,78.558,180387
93,Fetty Wap,2d8JP84HNLKhmd6IYOoupQ,Trap Queen,78,0.746,0.873,148.075,222093
94,Maroon 5,2iuZJX9X9P0GKaE93xcPjk,Sugar,83,0.748,0.788,120.076,235493
95,WALK THE MOON,4kbj5MwxO1bq9wjT5g9HaA,Shut Up And Dance,86,0.578,0.866,128.038,199080
96,Taylor Swift,1p80LdxRV74UKvL8gnD7ky,Blank Space,78,0.753,0.678,96.006,231827
97,Silento,0ukPlkEhhWPQWKq5b2awnn,Watch Me,80,0.747,0.693,119.921,150267
98,The Weeknd,2PIvq1pGrUjY007X5y1UpM,Earned It (Fifty Shades Of Grey),78,0.659,0.381,119.844,252227
99,The Weeknd,7fBv7CLKzipRk6EC6TWHOB,The Hills,90,0.585,0.564,113.003,242253
100,Justin Bieber,50kpGaPAhYJ3sGmk6vplg0,Love Yourself,87,0.609,0.378,100.418,233720
101,Justin Bieber,09CtPGIpYB4BrO8qb1RGsF,Sorry,86,0.654,0.76,99.945,200787
102,Drake Featuring WizKid & Kyla,1zi7xx7UVEFkmKfv06H8x0,One Dance,90,0.792,0.625,103.967,173987
103,Rihanna Featuring Drake,2wAJTrFhCnQyNSD3oUgTZO,Work,85,0.831,0.427,93.004,235320
104,twenty one pilots,3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,88,0.734,0.637,169.977,202333
105,Desiigner,5YEOzOojehCqxGQCcQiyR4,Panda,72,0.576,0.766,144.833,246761
106,Adele,62PaSfnXSMyLshYJrlTuL3,Hello,76,0.578,0.43,78.991,295502
107,The Chainsmokers Featuring Daya,11FcfHd3SOmmrWJPGe7Y30,Don't Let Me Down,66,0.424,0.446,139.701,336733
108,Justin Timberlake,1WkMMavIMc4JZ8cfMmxHkI,Can't Stop The Feeling!,76,0.669,0.832,113.035,237547
109,The Chainsmokers Featuring Halsey,7BKLCZ1jbUBVqRi2FVlTVw,Closer,86,0.748,0.524,95.01,244960
110,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,Shape Of You,89,0.825,0.652,95.977,233713
111,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,6habFhsOp2NvshLv26DqMb,Despacito,82,0.655,0.797,177.928,229360
112,Bruno Mars,6673o0Zktb21a5rHhOI64g,That's What I Like,43,0.526,0.924,134.03,207253
113,Kendrick Lamar,7KXjTSCq5nL1LoYtL7XAwS,Humble.,87,0.908,0.621,150.011,177000
114,The Chainsmokers & Coldplay,6RUKPb4LETWmmr3iAEQktW,Something Just Like This,88,0.617,0.635,103.019,247160
115,Migos Featuring Lil Uzi Vert,0M9ydKzuF3oZTfYYPfaGX1,Bad And Boujee,76,0.926,0.666,127.079,343150
116,The Chainsmokers Featuring Halsey,7BKLCZ1jbUBVqRi2FVlTVw,Closer,86,0.748,0.524,95.01,244960
117,Sam Hunt,7FpBQ067pHB67deawpbbcY,Body Like A Back Road,75,0.736,0.458,98.977,162547
118,Imagine Dragons,0pqnGHJpmpxLKifKRmU6WP,Believer,90,0.776,0.78,124.949,204347
